number,symbol,name,market,size
99,AKCA,Akcea Therapeutics. Inc.,NASDAQ,1730000000
100,AKBA,Akebia Therapeutics. Inc.,NASDAQ,477830000
101,KERN,Akerna Corp.,NASDAQ,57090000
102,AKRO,Akero Therapeutics. Inc.,NASDAQ,599380000
103,AKER,Akers Biosciences Inc.,NASDAQ,5040000
104,AKRX,Akorn. Inc.,NASDAQ,590350000
105,AKTS,Akoustis Technologies. Inc.,NASDAQ,255170000
106,ALRM,Alarm.com Holdings. Inc.,NASDAQ,2370000000
107,ALSK,Alaska Communications Systems Group. Inc.,NASDAQ,87790000
108,ALAC,Alberton Acquisition Corporation,NASDAQ,150720000
109,ALBO,Albireo Pharma. Inc.,NASDAQ,221230000
110,ABDC,Alcentra Capital Corp.,NASDAQ,115110000
111,ALDX,Aldeyra Therapeutics. Inc.,NASDAQ,161060000
112,ALEC,Alector. Inc.,NASDAQ,1100000000
113,ALRS,Alerus Financial Corporation,NASDAQ,374120000
114,ALXN,Alexion Pharmaceuticals. Inc.,NASDAQ,23580000000
115,ALCO,Alico. Inc.,NASDAQ,237010000
116,ALGN,Align Technology. Inc.,NASDAQ,19440000000
117,ALIM,Alimera Sciences. Inc.,NASDAQ,26050000
118,ALYA,Alithya Group inc.,NASDAQ,133700000
119,ALJJ,ALJ Regional Holdings. Inc.,NASDAQ,50310000
120,ALKS,Alkermes plc,NASDAQ,3070000000
121,ALLK,Allakos Inc.,NASDAQ,3400000000
122,ABTX,Allegiance Bancshares. Inc.,NASDAQ,718750000
123,ALGT,Allegiant Travel Company,NASDAQ,2710000000
124,ALGR,Allegro Merger Corp.,NASDAQ,194030000
125,ALNA,Allena Pharmaceuticals. Inc.,NASDAQ,132820000
126,ARLP,Alliance Resource Partners. L.P.,NASDAQ,1750000000
127,LNT,Alliant Energy Corporation,NASDAQ,12630000000
128,AESE,Allied Esports Entertainment. Inc.,NASDAQ,109210000
129,AHPI,Allied Healthcare Products. Inc.,NASDAQ,5040000
130,AMOT,Allied Motion Technologies. Inc.,NASDAQ,357110000
131,ALLO,Allogene Therapeutics. Inc.,NASDAQ,3550000000
132,ALLT,Allot Ltd.,NASDAQ,254200000
133,MDRX,Allscripts Healthcare Solutions. Inc.,NASDAQ,1830000000
134,ALNY,Alnylam Pharmaceuticals. Inc.,NASDAQ,9930000000
135,AOSL,Alpha and Omega Semiconductor Limited,NASDAQ,313990000
136,GOOG,Alphabet Inc.,NASDAQ,8.77E+11
137,GOOGL,Alphabet Inc.,NASDAQ,8.77E+11
138,SMCP,AlphaMark Actively Managed Small Cap ETF,NASDAQ,21410000
139,ATEC,Alphatec Holdings. Inc.,NASDAQ,345200000
140,ALPN,Alpine Immune Sciences. Inc.,NASDAQ,52420000
141,ALTR,Altair Engineering Inc.,NASDAQ,2560000000
142,ATHE,Alterity Therapeutics Limited,NASDAQ,16780000
143,ALT,Altimmune. Inc.,NASDAQ,30370000
144,ASPS,Altisource Portfolio Solutions S.A.,NASDAQ,302170000
145,AIMC,Altra Industrial Motion Corp.,NASDAQ,1920000000
146,ALTM,Altus Midstream Company,NASDAQ,792830000
147,AMAG,AMAG Pharmaceuticals. Inc.,NASDAQ,415730000
148,AMAL,Amalgamated Bank,NASDAQ,551110000
149,AMRN,Amarin Corporation plc,NASDAQ,5910000000
150,AMRK,A-Mark Precious Metals. Inc.,NASDAQ,77350000
151,AMZN,Amazon.com. Inc.,NASDAQ,8.71E+11
152,AMBC,Ambac Financial Group. Inc.,NASDAQ,901000000
153,AMBA,Ambarella. Inc.,NASDAQ,1750000000
154,AMCX,AMC Networks Inc.,NASDAQ,2600000000
155,AMCI,AMCI Acquisition Corp.,NASDAQ,276480000
156,DOX,Amdocs Limited,NASDAQ,8850000000
157,AMED,Amedisys Inc,NASDAQ,4300000000
158,AMTB,Amerant Bancorp Inc.,NASDAQ,822620000
159,AMTBB,Amerant Bancorp Inc.,NASDAQ,597310000
160,UHAL,Amerco,NASDAQ,8070000000
161,AMRH,Ameri Holdings. Inc.,NASDAQ,8610000
162,ATAX,America First Multifamily Investors. L.P.,NASDAQ,468300000
163,AMOV,America Movil. S.A.B. de C.V.,NASDAQ,53100000000
164,AAL,American Airlines Group. Inc.,NASDAQ,13740000000
165,AFIN,American Finance Trust. Inc.,NASDAQ,1530000000
166,AFINP,American Finance Trust. Inc.,NASDAQ,30520000
167,AMNB,American National Bankshares. Inc.,NASDAQ,404050000
168,ANAT,American National Insurance Company,NASDAQ,3120000000
169,AOBC,American Outdoor Brands Corporation,NASDAQ,393620000
170,APEI,American Public Education. Inc.,NASDAQ,357060000
171,AREC,American Resources Corporation,NASDAQ,19360000
172,AMRB,American River Bankshares,NASDAQ,87130000
173,AMSWA,American Software. Inc.,NASDAQ,491200000
174,AMSC,American Superconductor Corporation,NASDAQ,200570000
175,AMWD,American Woodmark Corporation,NASDAQ,1700000000
176,CRMT,America&#39;s Car-Mart. Inc.,NASDAQ,601470000
177,ABCB,Ameris Bancorp,NASDAQ,3010000000
178,AMSF,AMERISAFE. Inc.,NASDAQ,1210000000
179,ASRV,AmeriServ Financial Inc.,NASDAQ,72840000
180,ASRVP,AmeriServ Financial Inc.,NASDAQ,609000
181,ATLO,Ames National Corporation,NASDAQ,251390000
182,AMGN,Amgen Inc.,NASDAQ,1.22E+11
183,FOLD,Amicus Therapeutics. Inc.,NASDAQ,2210000000
184,AMKR,Amkor Technology. Inc.,NASDAQ,2600000000
185,AMPH,Amphastar Pharmaceuticals. Inc.,NASDAQ,921860000
186,IBUY,Amplify Online Retail ETF,NASDAQ,250670000
187,ASYS,Amtech Systems. Inc.,NASDAQ,79470000
188,AMRS,Amyris. Inc.,NASDAQ,381550000
189,ADI,Analog Devices. Inc.,NASDAQ,39460000000
190,ANAB,AnaptysBio. Inc.,NASDAQ,1040000000
191,AVXL,Anavex Life Sciences Corp.,NASDAQ,144790000
192,ANCN,Anchiano Therapeutics Ltd.,NASDAQ,17360000
193,ANDA,Andina Acquisition Corp. III,NASDAQ,138950000
194,ANGI,ANGI Homeservices Inc.,NASDAQ,3550000000
195,ANGO,AngioDynamics. Inc.,NASDAQ,532860000
196,ANIP,ANI Pharmaceuticals. Inc.,NASDAQ,944420000
197,ANIK,Anika Therapeutics Inc.,NASDAQ,1010000000
198,ANIX,Anixa Biosciences. Inc.,NASDAQ,79210000
199,ANSS,ANSYS. Inc.,NASDAQ,18520000000
200,ATRS,Antares Pharma. Inc.,NASDAQ,570720000
201,ATEX,Anterix Inc.,NASDAQ,674500000
202,APLS,Apellis Pharmaceuticals. Inc.,NASDAQ,1800000000
203,APEX,Apex Global Brands Inc.,NASDAQ,6070000
204,APOG,Apogee Enterprises. Inc.,NASDAQ,996580000
205,APEN,Apollo Endosurgery. Inc.,NASDAQ,64260000
206,AINV,Apollo Investment Corporation,NASDAQ,1080000000
207,AMEH,Apollo Medical Holdings. Inc.,NASDAQ,743350000
208,APPF,AppFolio. Inc.,NASDAQ,3090000000
209,APPN,Appian Corporation,NASDAQ,2900000000
210,AAPL,Apple Inc.,NASDAQ,1.11E+12
211,APDN,Applied DNA Sciences Inc,NASDAQ,10900000
212,AGTC,Applied Genetic Technologies Corporation,NASDAQ,52100000
213,AMAT,Applied Materials. Inc.,NASDAQ,51470000000
214,AAOI,Applied Optoelectronics. Inc.,NASDAQ,198490000
215,APLT,Applied Therapeutics. Inc.,NASDAQ,270450000
216,AREX,Approach Resources Inc.,NASDAQ,10770000
217,APRE,Aprea Therapeutics. Inc.,NASDAQ,491580000
218,APVO,Aptevo Therapeutics Inc.,NASDAQ,27960000
219,APTX,Aptinyx Inc.,NASDAQ,105370000
220,APM,Aptorum Group Limited,NASDAQ,460210000
221,APTO,Aptose Biosciences. Inc.,NASDAQ,114770000
222,APYX,Apyx Medical Corporation,NASDAQ,215400000
223,AQMS,Aqua Metals. Inc.,NASDAQ,101960000
224,AQB,AquaBounty Technologies. Inc.,NASDAQ,52280000
225,AQST,Aquestive Therapeutics. Inc.,NASDAQ,82890000
226,ARAV,Aravive. Inc.,NASDAQ,74480000
227,ABUS,Arbutus Biopharma Corporation,NASDAQ,50030000
228,ABIO,ARCA biopharma. Inc.,NASDAQ,7760000
229,RKDA,Arcadia Biosciences. Inc.,NASDAQ,35610000
230,ARCB,ArcBest Corporation,NASDAQ,784240000
231,ACGL,Arch Capital Group Ltd.,NASDAQ,16520000000
232,FUV,Arcimoto. Inc.,NASDAQ,38260000
233,ARCE,Arco Platform Limited,NASDAQ,1000000000
234,ARCT,Arcturus Therapeutics Holdings Inc.,NASDAQ,154730000
235,ARDX,Ardelyx. Inc.,NASDAQ,316520000
236,ARNA,Arena Pharmaceuticals. Inc.,NASDAQ,2440000000
237,ARCC,Ares Capital Corporation,NASDAQ,7840000000
238,ARGX,argenx SE,NASDAQ,4340000000
239,ARDS,Aridis Pharmaceuticals Inc.,NASDAQ,49730000
240,ARKR,Ark Restaurants Corp.,NASDAQ,73030000
241,ARTX,Arotech Corporation,NASDAQ,78930000
242,ARQL,ArQule. Inc.,NASDAQ,1140000000
243,DWCR,Arrow DWA Country Rotation ETF,NASDAQ,12150000
244,DWAT,Arrow DWA Tactical ETF,NASDAQ,4500000
245,AROW,Arrow Financial Corporation,NASDAQ,513400000
246,ARWR,Arrowhead Pharmaceuticals. Inc.,NASDAQ,3670000000
247,ARTL,Artelo Biosciences. Inc.,NASDAQ,8100000
248,ARTNA,Artesian Resources Corporation,NASDAQ,340000000
249,ARTW,Art&#39;s-Way Manufacturing Co.. Inc.,NASDAQ,8450000
250,ARVN,Arvinas. Inc.,NASDAQ,718180000
251,ARYA,ARYA Sciences Acquisition Corp.,NASDAQ,184000000
252,ASNA,Ascena Retail Group. Inc.,NASDAQ,96660000
253,ASND,Ascendis Pharma A/S,NASDAQ,4920000000
254,APWC,Asia Pacific Wire & Cable Corporation Limited,NASDAQ,18190000
255,ASLN,ASLAN Pharmaceuticals Limited,NASDAQ,51280000
256,ASML,ASML Holding N.V.,NASDAQ,1.11E+11
257,ASPU,Aspen Group Inc.,NASDAQ,113490000
258,AZPN,Aspen Technology. Inc.,NASDAQ,7920000000
259,ASMB,Assembly Biosciences. Inc.,NASDAQ,389790000
260,ASRT,Assertio Therapeutics. Inc.,NASDAQ,74220000
261,ASFI,Asta Funding. Inc.,NASDAQ,43910000
262,ASTE,Astec Industries. Inc.,NASDAQ,735080000
263,ATRO,Astronics Corporation,NASDAQ,981890000
264,ALOT,AstroNova. Inc.,NASDAQ,109980000
265,ASTC,Astrotech Corporation,NASDAQ,8940000
266,ASUR,Asure Software Inc,NASDAQ,140120000
267,AACG,ATA Creativity Global,NASDAQ,44500000
268,ATRA,Atara Biotherapeutics. Inc.,NASDAQ,660690000
269,ATNX,Athenex. Inc.,NASDAQ,844040000
270,ATHX,Athersys. Inc.,NASDAQ,198480000
271,ATIF,ATIF Holdings Limited,NASDAQ,107640000
272,AAME,Atlantic American Corporation,NASDAQ,44150000
273,ACBI,Atlantic Capital Bancshares. Inc.,NASDAQ,414800000
274,AUB,Atlantic Union Bankshares Corporation,NASDAQ,3100000000
275,AY,Atlantica Yield plc,NASDAQ,2370000000
276,ATLC,Atlanticus Holdings Corporation,NASDAQ,128780000
277,AAWW,Atlas Air Worldwide Holdings,NASDAQ,659800000
278,AFH,Atlas Financial Holdings. Inc.,NASDAQ,7160000
279,TEAM,Atlassian Corporation Plc,NASDAQ,13880000000
280,ATNI,ATN International. Inc.,NASDAQ,967490000
281,ATOM,Atomera Incorporated,NASDAQ,61640000
282,ATOS,Atossa Genetics Inc.,NASDAQ,15790000
283,BCEL,Atreca. Inc.,NASDAQ,303510000
284,ATRC,AtriCure. Inc.,NASDAQ,1050000000
285,ATRI,Atrion Corporation,NASDAQ,1510000000
286,ATIS,Attis Industries Inc.,NASDAQ,4100000
287,LIFE,aTyr Pharma. Inc.,NASDAQ,14860000
288,AUBN,Auburn National Bancorporation. Inc.,NASDAQ,154330000
289,BOLD,Audentes Therapeutics. Inc.,NASDAQ,1250000000
290,AUDC,AudioCodes Ltd.,NASDAQ,546460000
291,AEYE,AudioEye. Inc.,NASDAQ,26060000
292,AUPH,Aurinia Pharmaceuticals Inc,NASDAQ,459170000
293,EARS,Auris Medical Holding Ltd.,NASDAQ,5610000
294,JG,Aurora Mobile Limited,NASDAQ,456990000
295,ADSK,Autodesk. Inc.,NASDAQ,31960000000
296,AUTL,Autolus Therapeutics plc,NASDAQ,603210000
297,ADP,Automatic Data Processing. Inc.,NASDAQ,70240000000
298,AUTO,AutoWeb. Inc.,NASDAQ,34380000
299,AVDL,Avadel Pharmaceuticals plc,NASDAQ,155040000
300,AVCO,Avalon GloboCare Corp.,NASDAQ,120290000
301,AVDR,Avedro. Inc,NASDAQ,402160000
302,ATXI,Avenue Therapeutics. Inc.,NASDAQ,92240000
303,AVEO,AVEO Pharmaceuticals. Inc.,NASDAQ,147580000
304,AVNW,Aviat Networks. Inc.,NASDAQ,74400000
305,CDMO,Avid Bioservices. Inc.,NASDAQ,290190000
306,CDMOP,Avid Bioservices. Inc.,NASDAQ,18480000
307,AVID,Avid Technology. Inc.,NASDAQ,283510000
308,AVGR,Avinger. Inc.,NASDAQ,11570000
309,CAR,Avis Budget Group. Inc.,NASDAQ,2270000000
310,RCEL,Avita Medical Limited,NASDAQ,844150000
311,AVT,Avnet. Inc.,NASDAQ,3990000000
312,AVRO,AVROBIO. Inc.,NASDAQ,464820000
313,AWRE,Aware. Inc.,NASDAQ,61700000
314,ACLS,Axcelis Technologies. Inc.,NASDAQ,633710000
315,AXLA,Axcella Health Inc.,NASDAQ,115410000
316,AXGN,AxoGen. Inc.,NASDAQ,460850000
317,AAXN,Axon Enterprise. Inc.,NASDAQ,3220000000
318,AXNX,Axonics Modulation Technologies. Inc.,NASDAQ,589890000
319,AXGT,Axovant Gene Therapies Ltd.,NASDAQ,143290000
320,AXSM,Axsome Therapeutics. Inc.,NASDAQ,806080000
321,AXTI,AXT Inc,NASDAQ,117800000
322,AYTU,Aytu BioScience. Inc.,NASDAQ,19810000
323,AZRX,AzurRx BioPharma. Inc.,NASDAQ,17800000
324,BCOM,B Communications Ltd.,NASDAQ,45400000
325,RILY,B. Riley Financial. Inc.,NASDAQ,638000000
326,BOSC,B.O.S. Better Online Solutions,NASDAQ,9110000
327,BIDU,Baidu. Inc.,NASDAQ,36200000000
328,BCPC,Balchem Corporation,NASDAQ,3240000000
329,BLDP,Ballard Power Systems. Inc.,NASDAQ,1360000000
330,BANF,BancFirst Corporation,NASDAQ,1890000000
331,BANFP,BancFirst Corporation,NASDAQ,27700000
332,BCTF,Bancorp 34. Inc.,NASDAQ,48750000
333,BAND,Bandwidth Inc.,NASDAQ,1380000000
334,BFC,Bank First Corporation,NASDAQ,490830000
335,BOCH,Bank of Commerce Holdings (CA),NASDAQ,204000000
336,BMRC,Bank of Marin Bancorp,NASDAQ,595120000
337,BMLP,Bank Of Montreal,NASDAQ,3820000
338,BKSC,Bank of South Carolina Corp.,NASDAQ,103010000
339,BOTJ,Bank of the James Financial Group. Inc.,NASDAQ,65650000
340,OZK,Bank OZK,NASDAQ,3750000000
341,BSVN,Bank7 Corp.,NASDAQ,184390000
342,BFIN,BankFinancial Corporation,NASDAQ,191560000
343,BWFG,Bankwell Financial Group. Inc.,NASDAQ,215710000
344,BANR,Banner Corporation,NASDAQ,1910000000
345,BZUN,Baozun Inc.,NASDAQ,2710000000
346,DFVL,Barclays PLC,NASDAQ,5170000
347,DFVS,Barclays PLC,NASDAQ,3560000
348,DLBS,Barclays PLC,NASDAQ,6720000
349,DTUL,Barclays PLC,NASDAQ,5290000
350,DTUS,Barclays PLC,NASDAQ,4280000
351,DTYL,Barclays PLC,NASDAQ,5480000
352,DTYS,Barclays PLC,NASDAQ,24350000
353,FLAT,Barclays PLC,NASDAQ,4790000
354,STPP,Barclays PLC,NASDAQ,3830000
355,TAPR,Barclays PLC,NASDAQ,7780000
356,BBSI,Barrett Business Services. Inc.,NASDAQ,657040000
357,GOLD,Barrick Gold Corporation,NASDAQ,30580000000
358,BSET,Bassett Furniture Industries. Incorporated,NASDAQ,156670000
359,GLG,Bat Group. Inc.,NASDAQ,5140000
360,BCML,BayCom Corp,NASDAQ,259360000
361,BBQ,BBQ Holdings. Inc. ,NASDAQ,46830000
362,BCBP,BCB Bancorp. Inc. (NJ),NASDAQ,212350000
363,BECN,Beacon Roofing Supply. Inc.,NASDAQ,2190000000
364,BBGI,Beasley Broadcast Group. Inc.,NASDAQ,81680000
365,BBBY,Bed Bath & Beyond Inc.,NASDAQ,1820000000
366,BGNE,BeiGene. Ltd.,NASDAQ,8380000000
367,BELFA,Bel Fuse Inc.,NASDAQ,168370000
368,BELFB,Bel Fuse Inc.,NASDAQ,176870000
369,BLPH,Bellerophon Therapeutics. Inc.,NASDAQ,30320000
370,BLCM,Bellicum Pharmaceuticals. Inc.,NASDAQ,38710000
371,BLU,BELLUS Health Inc.,NASDAQ,389760000
372,BNFT,Benefitfocus. Inc.,NASDAQ,753670000
373,BNTC,Benitec Biopharma Limited,NASDAQ,8100000
374,BRY,Berry Petroleum Corporation,NASDAQ,810540000
375,XAIR,Beyond Air. Inc.,NASDAQ,50490000
376,BYND,Beyond Meat. Inc.,NASDAQ,6070000000
377,BYSI,BeyondSpring. Inc.,NASDAQ,289740000
378,BGCP,BGC Partners. Inc.,NASDAQ,1800000000
379,BCYC,Bicycle Therapeutics plc,NASDAQ,169700000
380,BGFV,Big 5 Sporting Goods Corporation,NASDAQ,54860000
381,BRPA,Big Rock Partners Acquisition Corp.,NASDAQ,72730000
382,BILI,Bilibili Inc.,NASDAQ,5060000000
383,BASI,Bioanalytical Systems. Inc.,NASDAQ,46190000
384,BCDA,BioCardia. Inc.,NASDAQ,27290000
385,BIOC,Biocept. Inc.,NASDAQ,17490000
386,BCRX,BioCryst Pharmaceuticals. Inc.,NASDAQ,259530000
387,BDSI,BioDelivery Sciences International. Inc.,NASDAQ,503120000
388,BFRA,Biofrontera AG,NASDAQ,247610000
389,BIIB,Biogen Inc.,NASDAQ,51970000000
390,BHTG,BioHiTech Global. Inc.,NASDAQ,27170000
391,BKYI,BIO-key International. Inc.,NASDAQ,8640000
392,BIOL,Biolase. Inc.,NASDAQ,13190000
393,BLFS,BioLife Solutions. Inc.,NASDAQ,346170000
394,BLRX,BioLineRx Ltd.,NASDAQ,27000000
395,BMRN,BioMarin Pharmaceutical Inc.,NASDAQ,12780000000
396,BMRA,Biomerica. Inc.,NASDAQ,31320000
397,BNGO,Bionano Genomics. Inc.,NASDAQ,9720000
398,BVXV,BiondVax Pharmaceuticals Ltd.,NASDAQ,35430000
399,BPTH,Bio-Path Holdings. Inc.,NASDAQ,34750000
400,BSGM,BioSig Technologies. Inc.,NASDAQ,155540000
401,BSTC,BioSpecifics Technologies Corp,NASDAQ,346870000
402,TECH,Bio-Techne Corp,NASDAQ,7700000000
403,BEAT,BioTelemetry. Inc.,NASDAQ,1370000000
404,BTAI,BioXcel Therapeutics. Inc.,NASDAQ,72050000
405,BJRI,BJ&#39;s Restaurants. Inc.,NASDAQ,886990000
406,BLKB,Blackbaud. Inc.,NASDAQ,4210000000
407,BL,BlackLine. Inc.,NASDAQ,2650000000
408,BKCC,BlackRock Capital Investment Corporation,NASDAQ,319400000
409,TCPC,BlackRock TCP Capital Corp.,NASDAQ,815080000
410,BLNK,Blink Charging Co.,NASDAQ,56940000
411,BLMN,Bloomin&#39; Brands. Inc.,NASDAQ,1710000000
412,BCOR,Blucora. Inc.,NASDAQ,1050000000
413,BLBD,Blue Bird Corporation,NASDAQ,518400000
414,BHAT,Blue Hat Interactive Entertainment Technology,NASDAQ,103250000
415,BLUE,bluebird bio. Inc.,NASDAQ,4540000000
416,BKEP,Blueknight Energy Partners L.P.. L.L.C.,NASDAQ,47380000
417,BKEPP,Blueknight Energy Partners L.P.. L.L.C.,NASDAQ,164500000
418,BPMC,Blueprint Medicines Corporation,NASDAQ,3820000000
419,BMCH,BMC Stock Holdings. Inc.,NASDAQ,1850000000
420,WIFI,Boingo Wireless. Inc.,NASDAQ,456110000
421,BOKF,BOK Financial Corporation,NASDAQ,5530000000
422,BNSO,Bonso Electronics International. Inc.,NASDAQ,12330000
423,BKNG,Booking Holdings Inc.,NASDAQ,87400000000
424,BRQS,Borqs Technologies. Inc. ,NASDAQ,56350000
425,BOMN,Boston Omaha Corporation,NASDAQ,453980000
426,BPFH,Boston Private Financial Holdings. Inc.,NASDAQ,947250000
427,EPAY,Bottomline Technologies. Inc.,NASDAQ,1750000000
428,BOXL,Boxlight Corporation,NASDAQ,19890000
429,BWMC,Boxwood Merger Corp.,NASDAQ,257300000
430,BCLI,Brainstorm Cell Therapeutics Inc.,NASDAQ,82080000
431,BWAY,Brainsway Ltd.,NASDAQ,95170000
432,BBI,Brickell Biotech. Inc.,NASDAQ,20620000
433,BDGE,Bridge Bancorp. Inc.,NASDAQ,634210000
434,BBIO,BridgeBio Pharma. Inc.,NASDAQ,2190000000
435,BLIN          ,Bridgeline Digital. Inc.,NASDAQ,4330000
436,BWB,Bridgewater Bancshares. Inc.,NASDAQ,356240000
437,BRID,Bridgford Foods Corporation,NASDAQ,235000000
438,BCOV,Brightcove Inc.,NASDAQ,344510000
439,BHF,Brighthouse Financial. Inc.,NASDAQ,4260000000
440,AVGO,Broadcom Inc.,NASDAQ,1.15E+11
441,BVSN,BroadVision. Inc.,NASDAQ,11140000
